Plant_ID,Experiment,Plant,Geno,Treatment,Rep,Day
TaGNE_p1_Spring32_tHighN_r1_d17,TaGNE,p1,Spring32,tHighN,r1,d17
TaGNE_p2_MN106_tHighN_r1_d17,TaGNE,p2,MN106,tHighN,r1,d17
TaGNE_p3_ISU89_tHighN_r1_d17,TaGNE,p3,ISU89,tHighN,r1,d17
TaGNE_p4_Spring32_tTraceN_r1_d17,TaGNE,p4,Spring32,tTraceN,r1,d17
TaGNE_p5_MN106_tTraceN_r1_d17,TaGNE,p5,MN106,tTraceN,r1,d17
TaGNE_p7_Spring32_tHighN_r2_d17,TaGNE,p7,Spring32,tHighN,r2,d17
TaGNE_p10_Spring32_tTraceN_r2_d17,TaGNE,p10,Spring32,tTraceN,r2,d17
TaGNE_p11_MN106_tTraceN_r2_d17,TaGNE,p11,MN106,tTraceN,r2,d17
TaGNE_p13_Spring32_tHighN_r3_d17,TaGNE,p13,Spring32,tHighN,r3,d17
TaGNE_p14_MN106_tHighN_r3_d17,TaGNE,p14,MN106,tHighN,r3,d17
TaGNE_p15_ISU89_tHighN_r3_d17,TaGNE,p15,ISU89,tHighN,r3,d17
TaGNE_p16_Spring32_tTraceN_r3_d17,TaGNE,p16,Spring32,tTraceN,r3,d17
TaGNE_p17_MN106_tTraceN_r3_d17,TaGNE,p17,MN106,tTraceN,r3,d17
TaGNE_p18_ISU89_tTraceN_r3_d17,TaGNE,p18,ISU89,tTraceN,r3,d17
TaGNE_p19_Spring32_tHighN_r4_d17,TaGNE,p19,Spring32,tHighN,r4,d17
TaGNE_p20_MN106_tHighN_r4_d17,TaGNE,p20,MN106,tHighN,r4,d17
TaGNE_p21_ISU89_tHighN_r4_d17,TaGNE,p21,ISU89,tHighN,r4,d17
TaGNE_p22_Spring32_tTraceN_r4_d17,TaGNE,p22,Spring32,tTraceN,r4,d17
TaGNE_p23_MN106_tTraceN_r4_d17,TaGNE,p23,MN106,tTraceN,r4,d17
TaGNE_p24_ISU89_tTraceN_r4_d17,TaGNE,p24,ISU89,tTraceN,r4,d17
TaGNE_p25_Spring32_tHighN_r5_d17,TaGNE,p25,Spring32,tHighN,r5,d17
TaGNE_p26_MN106_tHighN_r5_d17,TaGNE,p26,MN106,tHighN,r5,d17
TaGNE_p27_ISU89_tHighN_r5_d17,TaGNE,p27,ISU89,tHighN,r5,d17
TaGNE_p28_Spring32_tTraceN_r5_d17,TaGNE,p28,Spring32,tTraceN,r5,d17
TaGNE_p29_MN106_tTraceN_r5_d17,TaGNE,p29,MN106,tTraceN,r5,d17
TaGNE_p30_Spring32_tHighN_r6_d17,TaGNE,p30,Spring32,tHighN,r6,d17
TaGNE_p32_MN106_tHighN_r6_d17,TaGNE,p32,MN106,tHighN,r6,d17
TaGNE_p34_Spring32_tTraceN_r6_d17,TaGNE,p34,Spring32,tTraceN,r6,d17
TaGNE_p35_MN106_tTraceN_r6_d17,TaGNE,p35,MN106,tTraceN,r6,d17
TaGNE_p37_Spring32_tHighN_r7_d17,TaGNE,p37,Spring32,tHighN,r7,d17
TaGNE_p38_MN106_tHighN_r7_d17,TaGNE,p38,MN106,tHighN,r7,d17
TaGNE_p40_Spring32_tTraceN_r7_d17,TaGNE,p40,Spring32,tTraceN,r7,d17
TaGNE_p41_MN106_tTraceN_r7_d17,TaGNE,p41,MN106,tTraceN,r7,d17
TaGNE_p42_ISU89_tTraceN_r7_d17,TaGNE,p42,ISU89,tTraceN,r7,d17